,track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_name,artist_discovery,artist_familiarity,artist_hotttnesss,song_currency,song_hotttnesss,album_name,genre_top,listens,song_title
0,2,0.416675233,0.675893985,0.634476268,0.010628068,0.177646571,0.159310065,165.922,0.576660988,AWOL,0.388989865,0.38674,0.40637,0.0,0.0,AWOL - A Way Of Life,Hip-Hop,6073,Food
1,3,0.374407769,0.528643062,0.817461132,0.001851103,0.105879944,0.461818128,126.957,0.269240242,AWOL,0.388989865,0.38674,0.40637,0.0,0.0,AWOL - A Way Of Life,Hip-Hop,6073,Electric Ave
2,5,0.043566899,0.74556587,0.701469992,0.000696799,0.373143312,0.124595342,100.26,0.621661224,AWOL,0.388989865,0.38674,0.40637,0.0,0.0,AWOL - A Way Of Life,Hip-Hop,6073,This World
3,10,0.951669965,0.658178654,0.924525162,0.965427015,0.115473884,0.032985219,111.562,0.963589892,Kurt Vile,0.557339007,0.614272,0.798387,0.005157993,0.354516,Constant Hitmaker,Pop,47632,Freeway
4,134,0.452217307,0.51323805,0.560409931,0.019442694,0.096566694,0.525519379,114.29,0.894072272,AWOL,0.388989865,0.38674,0.40637,0.0,0.0,AWOL - A Way Of Life,Hip-Hop,6073,Street Music
5,139,0.106549525,0.260911173,0.607066864,0.83508699,0.223676271,0.030569276,196.961,0.16026709,Alec K. Redfearn and the Eyesores,0.388922859,0.330784,0.4063,0.00025,0.03855,Every Man For Himself,Folk,1304,CandyAss
6,140,0.376312498,0.734079023,0.265684773,0.669581124,0.085995122,0.039068226,107.952,0.609991273,Alec K. Redfearn and the Eyesores,0.388922859,0.330784,0.4063,0.0,0.0,The Blind Spot,Folk,1300,Queen Of The Wires
7,141,0.96365688,0.435932998,0.075632147,0.345493491,0.105685869,0.026657849,33.477,0.163949934,Alec K. Redfearn and the Eyesores,0.388922859,0.330784,0.4063,0.000166667,0.03855,Every Man For Himself,Folk,1304,Ohio
8,142,0.662881125,0.379065477,0.82385578,0.910266184,0.088705255,0.079090355,147.781,0.092867632,Alec K. Redfearn and the Eyesores,0.388922859,0.330784,0.4063,0.000125,0.03855,The Quiet Room,Folk,845,Punjabi Watery Grave
9,144,0.909011429,0.443642591,0.641997168,0.9240917,0.267669451,0.089658913,128.537,0.788250782,Amoebic Ensemble,0.252380591,0.238153,0.263657,6.25e-05,0.0385,Amoebiasis,Jazz,2014,Wire Up
10,145,0.235506187,0.438671692,0.487751988,0.71612184,0.070359308,0.047297772,120.79,0.650451689,Amoebic Ensemble,0.252380591,0.238153,0.263657,0.0,0.0,Amoebiasis,Jazz,2014,Amoebiasis
